Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,00447.819360,D4,110,1.56504,8,13.75,19.031225
,,00449.473520,C1,63,0.28024,7,9,7.191265
,,00458.475200,B1,102,0.68264,10,10.2,14.11949
,,00467.261600,B5,399,1.79416,12,33.25,45.177658
,,00474.177680,B6,101,1.71216,8,12.625,11.134827
,,00476.205600,D5,63,0.23472,8,7.875,4.72857
,,00476.487440,B1,87,0.42328,10,8.7,11.41972
,,00477.880960,D5,78,0.24096,8,9.75,7.462406
,,00490.062080,A3,67,0.70008,7,9.571429,13.875541
,,00500.743680,B1,62,0.4204,7,8.857143,11.128195
,,00522.507840,D5,293,1.71536,12,24.416667,21.00182
,,00525.912560,B6,68,1.22256,8,8.5,10.148891
,,00527.917760,B5,261,1.54952,10,26.1,23.725304
,,00529.690720,B5,245,1.30696,10,24.5,31.119928
,,00531.090240,C1,152,0.4336,12,12.666667,14.308117
,,00531.613520,C3,82,0.38936,7,11.714286,7.666519
,,00532.633680,C1,53,0.32752,8,6.625,6.594268
,,00534.268800,D4,90,0.49864,6,15,13.316656
,,00544.836480,B3,53,0.26232,7,7.571429,9.037337
,,00556.673040,B4,63,0.27576,6,10.5,7.697402
,,00556.678320,B5,172,1.0136,12,14.333333,18.167431
,,00576.775600,C1,150,0.33296,11,13.636364,12.352937
,,00577.954160,D4,57,0.27024,6,9.5,10.045729
,,00578.615520,C1,66,0.50264,9,7.333333,5.906682
,,00580.275760,C3,75,0.31824,6,12.5,6.994045
,,00581.509600,C3,325,2.2048,7,46.428571,33.148399
,,00588.040000,B1,95,0.37096,11,8.636364,13.995276

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 + DM,AB 42 + DM,AB 42 + DM,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
