Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   Maximum Inter-Spike Interval (network bursts),100 ms,00453.016160,B5,55,0.29544,8,6.875,6.029873
   Minimum Number of Spikes (network bursts),50,00454.197120,B4,50,0.38336,6,8.333333,6.155395
   Minimum Participating Electrodes (%),35,00464.139520,B5,55,0.22176,9,6.111111,5.216309
   Synchrony Window,20 ms,00463.582160,B3,137,1.10328,7,19.571429,29.436893
,,00471.758080,D2,107,0.94048,7,15.285714,14.229891
,,00473.621520,D2,62,1.06744,6,10.333333,10.110501
,,00521.429120,B5,50,0.31432,8,6.25,6.359049
,,00528.254000,C1,83,0.44544,9,9.222222,7.114583
,,00529.762400,B5,65,0.50664,9,7.222222,7.656193
,,00530.617920,B5,61,0.58024,10,6.1,6.425729
,,00530.546560,B1,161,1.18448,10,16.1,32.843418
,,00535.202160,B6,76,0.97472,7,10.857143,11.67939
,,00536.502720,B6,53,0.8328,6,8.833333,6.202598
,,00538.430400,B5,58,0.32584,8,7.25,7.03118
,,00543.039360,B5,68,0.47232,8,8.5,8.231039
,,00551.612400,B5,63,0.30208,7,9,7.171371
,,00554.957680,B5,439,1.79768,10,43.9,64.380821
,,00558.264320,B5,244,1.0936,7,34.857143,45.960941
,,00563.837840,B5,56,0.38552,7,8,11.006492
,,00568.769120,B5,51,0.26544,8,6.375,10.605865
,,00571.570080,B1,154,1.15064,9,17.111111,33.958942

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
