Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   Pre-Spike Duration,0.84 ms,00183.408640,A1,68,1.19696,6,11.333333,10.290233
   Post-Spike Duration,2.16 ms,00194.429360,B1,133,0.82912,9,14.777778,19.713379
   Coincident Event Filter,Default (Well),00195.845520,B4,62,0.38568,8,7.75,8.287792
   Coincidence Occurrence Threshold,4 Electrodes,00196.702880,B1,74,0.5024,6,12.333333,20.669355
   Coincidence Event Window,160 µs,00209.456560,A3,70,0.94624,6,11.666667,17.220789
   Allow Sample Overlap,false,00212.284720,A2,64,0.47816,8,8,8.381527
   Spike Count Interval,1 s,00223.286400,D5,157,1.15064,8,19.625,10.907996
,,00230.737840,B1,104,0.45896,11,9.454545,13.398532
Burst Detector Settings,,00234.675600,C1,154,1.1724,11,14,13.259645
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00235.293440,D4,75,0.52136,10,7.5,8.766413
   Maximum Inter-Spike Interval,100 ms,00234.249040,B5,361,1.676,11,32.818182,44.343327
   Minimum Number of Spikes,5,00235.725440,D5,58,0.17656,8,7.25,5.261891
   Enable Network Burst Detection,True,00237.288640,D2,102,0.99704,6,17,13.127579
   Maximum Inter-Spike Interval (network bursts),100 ms,00239.994000,D5,50,0.1608,6,8.333333,4.784234
   Minimum Number of Spikes (network bursts),50,00240.990160,D5,56,0.48296,6,9.333333,5.153208
   Minimum Participating Electrodes (%),35,00242.195120,D3,53,0.29192,8,6.625,2.86956
   Synchrony Window,20 ms,00243.866800,D5,53,0.2892,9,5.888889,4.724509
,,00260.378160,C1,151,0.26784,11,13.727273,14.033019
,,00261.589280,C1,50,0.22584,7,7.142857,8.838691
,,00264.690640,B3,88,0.53816,7,12.571429,15.323718
,,00273.066320,B5,194,1.15232,11,17.636364,20.236208
,,00273.920160,B6,118,1.71864,8,14.75,13.681648
,,00276.261120,B5,58,0.33568,9,6.444444,7.675518
,,00276.120800,B6,99,1.32856,7,14.142857,12.743946
,,00298.950080,B4,64,0.27424,7,9.142857,10.176003
,,00301.066640,C2,87,0.30368,10,8.7,6.083584
,,00306.904400,B5,182,0.67016,10,18.2,20.468512
,,00308.567840,B5,275,1.33896,10,27.5,39.489872
,,00312.771520,A3,65,0.83912,8,8.125,12.262112
,,00313.168080,D4,83,0.30584,9,9.222222,9.658361
,,00313.737520,D4,88,1.4556,7,12.571429,14.400965
,,00321.918320,C3,97,0.33088,6,16.166667,9.227074
,,00322.353920,C3,157,1.22272,6,26.166667,19.869715
,,00323.693120,A2,65,0.64848,8,8.125,9.453009
,,00333.288480,D2,107,1.32512,6,17.833333,14.724319
,,00344.233360,B5,60,0.2764,10,6,7.085196
,,00349.567520,C1,148,0.29848,13,11.384615,13.029779
,,00350.856400,C1,51,0.27256,7,7.285714,8.762164
,,00354.128560,C3,69,0.17712,7,9.857143,7.453256
,,00398.484720,C3,81,0.22088,7,11.571429,7.613093
,,00399.162320,B1,164,1.63384,12,13.666667,24.611425
,,00402.803920,D4,91,0.48184,10,9.1,10.940292
,,00412.349520,D5,57,0.18736,8,7.125,4.226036
,,00416.013200,C1,148,0.38384,10,14.8,12.929037
,,00416.428320,A3,64,0.76848,7,9.142857,15.541912
,,00416.409280,D5,204,0.98096,11,18.545455,15.317036
,,00416.169040,B5,317,1.46512,11,28.818182,39.949554
,,00426.244960,B6,109,1.4212,9,12.111111,13.127109
,,00428.717440,D4,54,0.29008,7,7.714286,6.670067
,,00428.272080,B6,78,0.9264,7,11.142857,11.531678
,,00430.161120,D5,53,0.21104,8,6.625,5.023383
,,00434.448960,B1,127,0.744,12,10.583333,14.996991
,,00440.038160,C2,93,0.29584,8,11.625,7.482271
,,00443.025840,B3,105,0.73632,6,17.5,14.603082
,,00444.159920,A3,64,1.10936,6,10.666667,19.014614
,,00451.089760,C1,120,0.52608,11,10.909091,10.094594
,,00452.038640,B1,58,0.34288,6,9.666667,12.485547
,,00458.517200,D4,90,1.05712,7,12.857143,13.388999
,,00459.729520,B4,57,0.47168,6,9.5,9.215024
,,00471.992560,B5,490,2.26168,11,44.545455,58.030342
,,00474.821600,B5,72,0.9184,8,9,15.644487
,,00475.861440,D5,108,0.84944,10,10.8,8.657945
,,00478.646240,B1,119,0.73816,11,10.818182,13.723358
,,00479.548720,B1,105,1.1584,6,17.5,30.423401
,,00483.429200,C3,83,0.52712,7,11.857143,7.395531
,,00500.667040,C3,413,2.38952,6,68.833333,32.544415
,,00503.195600,C3,108,0.91808,6,18,14.617341
,,00506.980000,B1,95,0.75584,9,10.555556,14.780701
,,00528.079280,A3,76,1.0728,9,8.444444,14.583942
,,00533.362000,B5,233,1.4312,10,23.3,23.541666
,,00540.911520,D4,92,1.50896,8,11.5,15.467709
,,00544.334400,B4,60,0.31768,7,8.571429,7.961643
,,00561.640080,A2,57,1.19808,6,9.5,15.542952
,,00562.351440,D2,95,0.65376,6,15.833333,11.275588
,,00573.980240,B5,193,0.84432,10,19.3,22.360903
,,00580.521760,C2,119,0.26112,10,11.9,8.642338
,,00580.667520,C3,114,0.3196,7,16.285714,11.234059
,,00581.483360,C3,229,1.41592,7,32.714286,20.919672
,,00584.436320,D5,180,0.74968,11,16.363636,13.485836
,,00586.770320,B6,86,1.3784,8,10.75,11.288822
,,00589.105600,B1,114,0.44472,9,12.666667,13.523642
,,00589.043920,B6,111,1.41536,8,13.875,11.688002
,,00594.336960,D5,55,0.15368,7,7.857143,4.12063
,,00597.719920,D5,54,0.23984,9,6,5.033223
,,00599.447840,D5,54,0.20048,7,7.714286,3.368522

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
