Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   Pre-Spike Duration,0.84 ms,00256.458640,B6,63,0.8304,8,7.875,8.328228
   Post-Spike Duration,2.16 ms,00261.516320,C1,115,0.27056,11,10.454545,8.510567
   Coincident Event Filter,Default (Well),00261.740400,B5,52,0.2816,8,6.5,7.582875
   Coincidence Occurrence Threshold,4 Electrodes,00264.130000,B5,56,0.24672,9,6.222222,5.958705
   Coincidence Event Window,160 µs,00269.812960,B5,60,0.34296,9,6.666667,8.124039
   Allow Sample Overlap,false,00270.099360,C3,75,0.2828,7,10.714286,7.125694
   Spike Count Interval,1 s,00283.254640,B5,148,0.68088,10,14.8,16.029972
,,00284.071840,B5,91,0.9236,8,11.375,14.619658
Burst Detector Settings,,00285.556400,B5,61,0.33208,8,7.625,8.138451
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00286.639360,C1,61,0.18568,7,8.714286,5.06287
   Maximum Inter-Spike Interval,100 ms,00305.418080,B1,193,1.24128,10,19.3,35.958447
   Minimum Number of Spikes,5,00314.157760,B5,345,1.56456,10,34.5,44.373978
   Enable Network Burst Detection,True,00316.747840,C3,87,0.3196,8,10.875,8.006833
   Maximum Inter-Spike Interval (network bursts),100 ms,00316.050080,B5,224,1.38152,8,28,43.075516
   Minimum Number of Spikes (network bursts),50,00317.707840,C3,256,1.33536,9,28.444444,26.281008
   Minimum Participating Electrodes (%),35,00319.859600,C3,79,0.44728,6,13.166667,14.461635
   Synchrony Window,20 ms,00320.179040,B3,193,1.84504,6,32.166667,37.711254
,,00333.359040,B1,59,0.37608,8,7.375,8.673775
,,00346.216000,B4,53,0.33944,8,6.625,7.347406
,,00349.995760,A3,56,0.8692,7,8,10.392304
,,00350.641680,B1,140,0.93456,9,15.555556,21.087706
,,00353.752160,B5,131,1.02248,10,13.1,15.996563
,,00362.260320,B6,81,1.83536,7,11.571429,13.988334
,,00379.188480,A2,86,0.98528,7,12.285714,20.823849
,,00393.720160,C1,129,0.31888,10,12.9,10.044401
,,00395.042960,B5,302,1.62008,10,30.2,33.417961
,,00397.674160,B1,157,1.50184,10,15.7,26.180338
,,00400.235200,D5,117,0.55832,7,16.714286,12.255777
,,00413.029920,B5,59,0.25792,8,7.375,8.985231
,,00436.605520,B5,152,1.12208,9,16.888889,19.32439
,,00439.003600,A2,83,1.15224,7,11.857143,19.401241
,,00440.442560,B3,50,0.49944,6,8.333333,7.845735
,,00442.957120,C1,84,0.30024,9,9.333333,7.164729
,,00457.996480,D3,55,1.07744,6,9.166667,10.699169
,,00468.037120,B1,219,1.85704,12,18.25,34.797329
,,00470.596560,B5,185,1.43608,10,18.5,21.864355
,,00480.703440,B5,56,0.27584,10,5.6,7.445804
,,00482.764720,C1,70,0.74688,8,8.75,5.695393
,,00489.495840,C3,217,1.13016,8,27.125,20.220272
,,00494.480000,D5,58,0.18976,7,8.285714,7.045044
,,00499.452160,C3,57,0.65328,7,8.142857,6.512155
,,00533.219360,B1,162,1.37168,10,16.2,25.92605
,,00550.141520,B1,104,0.59064,9,11.555556,14.415355
,,00557.379920,C1,56,0.1564,8,7,5.634714
,,00559.836400,A2,96,1.31736,8,12,22.477766
,,00563.449280,A3,62,1.09128,7,8.857143,15.68829
,,00574.685040,B5,445,1.71368,10,44.5,56.363552
,,00577.879360,B5,190,0.64288,9,21.111111,32.240223
,,00578.161280,D3,70,0.86944,9,7.777778,11.960841
,,00580.869280,B3,146,1.70832,6,24.333333,32.27314
,,00583.901760,D5,96,0.47808,6,16,12.355835
,,00585.995840,B5,57,0.39064,7,8.142857,10.973065
,,00586.187920,B4,55,0.53544,7,7.857143,7.453256
,,00587.084720,D5,79,0.36488,7,11.285714,6.942916

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
