Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   AxIS Version,3.0.3.2,00169.876160,B5,57,0.52888,9,6.333333,9.321421
   Maestro Edge Firmware,3.0.3.2,00174.058480,B1,154,1.36024,10,15.4,24.050779
   Maestro Edge BioCore Version,4B,00197.068080,B1,128,1.01336,8,16,21.047565
,,00215.678720,C1,77,0.19632,9,8.555556,5.69817
AxIS Batch Process,,00234.971920,C3,287,1.71368,8,35.875,27.369862
   AxIS Version,3.0.3.2,00250.954560,B5,366,2.18912,9,40.666667,46.960976
   File Name,o.n experimet read 17.raw,00301.008240,B5,347,2.20736,10,34.7,38.385025
   Plate Type,BioCircuit MEA 24,00315.834080,B1,188,1.4248,9,20.888889,35.908665
   Requested File Section,0s to 10m0s,00324.950000,B4,58,0.68192,6,9.666667,7.803133
   Actual File Section Run,0s to 10m0s,00338.134080,B5,55,0.19512,8,6.875,6.450533
   Recording Offset from File Start,0s,00354.065920,B5,76,0.20008,9,8.444444,8.288025
,,00372.637040,D2,140,1.33152,6,23.333333,19.720266
Spike Detector Settings,,00390.870800,B5,54,0.22584,9,6,5.291502
   Method,Adaptive Threshold Crossing,00394.657760,C1,100,0.2844,10,10,7.655064
   Threshold,6,00407.502720,B5,55,0.21472,9,6.111111,7.950464
   Threshold Status,Variable,00406.244960,C3,208,1.5264,8,26,18.330303
   Threshold Crossing Only,True,00408.197600,C3,319,2.26056,7,45.571429,34.677525
   Pre-Spike Duration,0.84 ms,00409.352800,B5,410,2.49768,10,41,54.959984
   Post-Spike Duration,2.16 ms,00418.262560,C3,53,0.26384,7,7.571429,6.499608
   Coincident Event Filter,Default (Well),00422.384880,B5,55,0.33568,8,6.875,10.252286
   Coincidence Occurrence Threshold,4 Electrodes,00429.618240,B5,121,0.40128,10,12.1,13.852437
   Coincidence Event Window,160 µs,00438.160560,B6,81,1.53808,7,11.571429,13.200186
   Allow Sample Overlap,false,00440.257120,B6,65,0.98848,6,10.833333,8.801831
   Spike Count Interval,1 s,00448.105280,B5,53,0.30656,9,5.888889,5.72411
,,00456.246400,D2,87,0.74984,6,14.5,10.193953
Burst Detector Settings,,00466.302160,C1,73,0.32704,8,9.125,5.254462
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00467.368160,B5,158,0.76672,9,17.555556,18.172697
   Maximum Inter-Spike Interval,100 ms,00468.284400,B5,97,0.6828,7,13.857143,20.753164
   Minimum Number of Spikes,5,00468.816160,B1,103,0.73088,9,11.444444,15.966014
   Enable Network Burst Detection,True,00475.506960,B1,138,1.07672,10,13.8,23.464014
   Maximum Inter-Spike Interval (network bursts),100 ms,00490.310160,B5,65,0.25936,8,8.125,6.679025
   Minimum Number of Spikes (network bursts),50,00502.249600,B5,165,0.85624,9,18.333333,18.708286
   Minimum Participating Electrodes (%),35,00503.499440,A1,111,1.46976,7,15.857143,15.179201
   Synchrony Window,20 ms,00506.537120,D5,54,0.43296,6,9,6.377042
,,00511.024640,B1,127,0.97168,10,12.7,17.618456
,,00515.553440,B5,50,0.21576,8,6.25,4.11552
,,00545.246720,B1,124,1.0044,8,15.5,21.66218
,,00564.331600,B5,443,2.13144,10,44.3,56.829655
,,00566.848720,B5,62,0.62656,8,7.75,12.295833
,,00572.398960,C1,102,0.68064,9,11.333333,7.702813
,,00573.373360,B5,68,0.518,7,9.714286,13.434649
,,00575.363360,B1,141,0.98328,11,12.818182,16.748505
,,00576.854080,B5,56,0.30992,8,7,8.514693
,,00578.072960,B5,50,0.35952,8,6.25,7.725769
,,00579.444480,B5,63,0.35464,8,7.875,11.129212
,,00580.821360,B5,52,0.38176,7,7.428571,10.026495
,,00583.831760,B5,60,0.26808,8,7.5,9.26013
,,00585.393840,B5,57,0.3436,9,6.333333,8.205688
,,00587.966240,B5,52,0.35704,9,5.777778,7.969076
,,00589.074320,B5,51,0.35648,8,6.375,7.680129
,,00588.784400,B1,127,1.19128,8,15.875,26.876743
,,00592.542480,B5,55,0.33888,7,7.857143,9.109313
,,00592.628800,D5,52,0.42112,6,8.666667,6.262765
,,00593.589360,B5,55,0.44736,6,9.166667,8.513062

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
