Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,00350.202560,C3,92,0.29104,6,15.333333,8.478731
Burst Detector Settings,,00360.608080,C1,72,0.51816,7,10.285714,5.006119
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00366.051840,B1,111,0.88808,9,12.333333,17.029387
   Maximum Inter-Spike Interval,100 ms,00367.817840,B5,279,1.26136,10,27.9,38.972939
   Minimum Number of Spikes,5,00398.502640,C3,103,0.56736,7,14.714286,11.864885
   Enable Network Burst Detection,True,00400.442080,B6,68,1.1852,6,11.333333,12.119773
   Maximum Inter-Spike Interval (network bursts),100 ms,00402.242400,B6,53,0.73528,6,8.833333,9.581522
   Minimum Number of Spikes (network bursts),50,00409.391520,B5,189,1.04616,9,21,26.331224
   Minimum Participating Electrodes (%),35,00407.228400,B3,254,3.742,6,42.333333,65.527771
   Synchrony Window,20 ms,00422.142480,B1,149,1.28928,10,14.9,25.797092
,,00444.645600,B5,57,0.302,9,6.333333,6.879922
,,00448.418160,A1,67,1.76784,6,11.166667,11.581834
,,00468.893760,D2,152,1.43752,7,21.714286,18.979044
,,00472.658800,C1,84,0.3104,8,10.5,5.545268
,,00483.392080,C3,442,2.35656,6,73.666667,44.507179
,,00496.494480,D2,59,0.60448,7,8.428571,6.477591
,,00497.476720,D2,53,0.9604,6,8.833333,9.822027
,,00498.446800,B1,145,0.95128,10,14.5,29.387922
,,00499.224720,B5,72,0.25344,10,7.2,8.494704
,,00500.231520,B5,53,0.34824,9,5.888889,6.367355
,,00504.814000,D2,59,0.73032,6,9.833333,7.690181
,,00505.528320,B5,56,0.22152,7,8,5.503246
,,00508.724160,B5,145,0.71464,7,20.714286,22.46085
,,00517.118880,B5,58,0.2584,7,8.285714,6.797359
,,00518.223440,B5,58,0.47752,6,9.666667,5.280993
,,00521.858480,B5,55,0.27568,9,6.111111,7.460183
,,00523.538000,B5,69,0.742,8,8.625,10.246188
,,00525.608000,B5,464,2.5812,8,58,76.635498
,,00531.688880,B5,55,0.27312,6,9.166667,11.795714
,,00532.853520,B5,56,0.354,7,8,11.426785
,,00534.275040,B5,65,0.3132,8,8.125,11.406549
,,00535.861680,B5,60,0.29224,8,7.5,10.618381
,,00536.884240,B1,121,0.85024,11,11,16.248077
,,00537.601920,B5,54,0.39008,7,7.714286,10.524994
,,00544.416320,B3,153,1.49216,6,25.5,29.386789
,,00565.854960,B1,95,0.80664,9,10.555556,14.13515
,,00585.587200,B1,118,1.31008,10,11.8,24.656843
,,00592.038800,B5,57,0.22904,9,6.333333,7.023769
,,00597.401280,C3,56,0.36984,6,9.333333,7.498148

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
