Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   Recording Offset from File Start,0s,00282.403360,B6,99,1.09416,7,14.142857,12.322206
,,00287.132240,D5,86,0.65696,8,10.75,9.781999
Spike Detector Settings,,00293.438480,C3,86,0.41896,6,14.333333,5.962848
   Method,Adaptive Threshold Crossing,00302.629120,C3,61,0.44712,6,10.166667,5.079917
   Threshold,6,00308.429440,C3,54,0.3488,6,9,3.785939
   Threshold Status,Variable,00311.404640,A3,67,1.13536,6,11.166667,18.324997
   Threshold Crossing Only,True,00313.204960,A2,89,0.67224,8,11.125,17.338091
   Pre-Spike Duration,0.84 ms,00324.631200,B5,251,1.25776,10,25.1,29.163162
   Post-Spike Duration,2.16 ms,00350.478160,B1,149,0.83288,10,14.9,19.39304
   Coincident Event Filter,Default (Well),00351.972480,C3,57,0.22456,6,9.5,5.346338
   Coincidence Occurrence Threshold,4 Electrodes,00367.879840,B1,122,0.69344,11,11.090909,15.500467
   Coincidence Event Window,160 µs,00380.839120,C1,68,0.31952,8,8.5,6.22495
   Allow Sample Overlap,false,00386.422880,C1,119,0.26256,12,9.916667,8.883115
   Spike Count Interval,1 s,00400.384080,C3,108,0.2928,6,18,10.311806
,,00400.929040,C3,75,0.52832,7,10.714286,10.415843
Burst Detector Settings,,00401.647680,C1,92,0.2536,10,9.2,9.474175
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00401.704880,C3,95,0.71392,6,15.833333,9.118053
   Maximum Inter-Spike Interval,100 ms,00428.007920,B5,61,0.21264,9,6.777778,6.442528
   Minimum Number of Spikes,5,00429.328960,B5,51,0.3964,9,5.666667,5.773503
   Enable Network Burst Detection,True,00439.568000,D2,121,1.21096,6,20.166667,17.257044
   Maximum Inter-Spike Interval (network bursts),100 ms,00441.313920,B4,57,0.63848,6,9.5,7.99479
   Minimum Number of Spikes (network bursts),50,00445.310400,D5,172,0.64984,10,17.2,14.931845
   Minimum Participating Electrodes (%),35,00452.897600,B6,97,1.63328,7,13.857143,15.018355
   Synchrony Window,20 ms,00462.062960,A2,77,0.72336,9,8.555556,14.260365
,,00485.558240,B2,54,0.62728,6,9,3.785939
,,00486.763440,C2,71,0.2652,8,8.875,6.352903
,,00488.650720,A2,51,0.5212,7,7.285714,10.633025
,,00507.776320,D3,59,0.54768,8,7.375,3.772847
,,00510.508240,A3,79,1.03816,8,9.875,17.23686
,,00514.823600,B1,108,0.44424,9,12,17.480148
,,00514.992320,B5,499,1.80296,10,49.9,67.137848
,,00518.004880,B5,175,0.9448,9,19.444444,34.791798
,,00525.734080,B1,152,0.83736,11,13.818182,20.103451
,,00533.459920,B5,55,0.30216,8,6.875,7.849164
,,00536.488080,D2,117,1.94776,6,19.5,18.892239
,,00539.263040,B6,79,1.2652,7,11.285714,9.661622
,,00542.701120,B6,78,0.99456,7,11.142857,10.006121
,,00552.226400,C2,67,0.38672,8,8.375,11.639775
,,00560.469200,C1,146,0.31624,12,12.166667,12.634829
,,00584.057840,B5,72,0.21064,10,7.2,7.236021

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
