Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,00361.727200,D5,132,0.336,8,16.5,11.608187
,,00363.320560,C3,283,1.26272,6,47.166667,24.490929
,,00363.586800,B6,107,1.7528,8,13.375,12.06169
,,00370.845040,D5,64,0.29248,7,9.142857,5.890151
,,00373.605440,D2,114,1.2216,7,16.285714,16.139696
,,00379.971520,B5,528,2.38848,10,52.8,70.638229
,,00381.639840,A3,61,1.05856,6,10.166667,18.738701
,,00391.347200,C2,56,0.15928,9,6.222222,4.755763
,,00399.383200,B1,63,0.33512,8,7.875,11.493884
,,00443.372080,A2,65,0.34696,9,7.222222,9.138171
,,00460.816400,C3,66,0.25008,6,11,6.055301
,,00477.133040,B1,202,1.47304,9,22.444444,35.851891
,,00478.173840,B5,61,0.23984,9,6.777778,7.59792
,,00490.085760,C1,132,0.27248,10,13.2,10.077698
,,00497.386720,D5,136,0.51624,9,15.111111,14.011459
,,00503.484560,D5,64,0.27816,7,9.142857,6.854166
,,00513.566320,B1,137,0.64976,11,12.454545,18.247608
,,00515.027200,A2,52,0.25992,9,5.777778,7.145749
,,00529.589440,D2,119,1.14504,6,19.833333,16.697472
,,00528.516400,B5,580,2.48184,10,58,75.884125
,,00530.447440,B2,83,1.6272,6,13.833333,4.980517
,,00531.888720,B5,170,0.93832,9,18.888889,35.278084
,,00539.782960,B5,55,0.45968,7,7.857143,9.789623
,,00545.386720,B5,51,0.3932,7,7.285714,9.55756
,,00553.901840,C3,221,1.36416,8,27.625,20.401823
,,00566.606640,B1,134,0.69464,11,12.181818,16.168535
,,00573.495840,D5,145,0.74968,8,18.125,17.410036
,,00579.862800,B5,75,0.26928,10,7.5,7.36546
,,00586.130160,B3,66,0.92392,6,11,10
,,00587.116240,B1,119,0.53584,9,13.222222,14.987238
,,00591.266160,B5,200,1.25344,10,20,22.38303
,,00597.612320,D5,53,0.25184,6,8.833333,5.785518

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
